id,number,street,unit,lon,lat,city,postcode,region,accuracy
GANSW706163706,124,OLD SOUTH HEAD ROAD,UNIT 1,151.28163401,-33.85742897,VAUCLUSE,2030,NSW,2
GANSW706327444,6,FIFTH STREET,,151.46410861,-32.81030197,WESTON,2326,NSW,2
GANSW720683354,15,WICKHAM STREET,UNIT 1303,151.75810807,-32.92308352,WICKHAM,2293,NSW,2
GANSW720685127,292,MANNS ROAD,UNIT 4,151.32252156,-33.41846086,WEST GOSFORD,2250,NSW,2
GANSW718150527,62A,CUDMORE ROAD,,141.90932342,-33.97835353,WENTWORTH,2648,NSW,1
GANSW718516057,12,PRIMROSE STREET,UNIT 214,152.37136996,-31.86978588,WINGHAM,2429,NSW,2
GANSW717697068,279,COPPABELLA ROAD,,147.64146059,-35.74891690,YARARA,2644,NSW,1
GANSW706574576,134,EASTERN VALLEY WAY,,151.21025491,-33.80015935,WILLOUGHBY EAST,2068,NSW,2
GANSW717722493,28,WATERSIDE DRIVE,,151.48264240,-33.23998220,WOONGARRAH,2259,NSW,2
GANSW715540342,30,GADIGAL AVENUE,UNIT 61,151.20889787,-33.90715163,ZETLAND,2017,NSW,1
GANSW706342533,30,CURLEW CRESCENT,,151.66900296,-32.79423500,WOODBERRY,2322,NSW,2
GANSW721172552,51,ACKLAND WAY,,151.47966734,-33.18620911,WYEE,2259,NSW,2
GANSW719667378,14,AUBURN STREET,UNIT 705,150.88901774,-34.42791347,WOLLONGONG,2500,NSW,2
GANSW717214745,314,HILLSBOROUGH ROAD,,151.65698868,-32.96580620,WARNERS BAY,2282,NSW,2
GANSW717308348,13,POLDING STREET,UNIT 3,148.91991540,-34.84171396,YASS,2582,NSW,2
GANSW719360283,34-38,MCEVOY STREET,UNIT 201B,151.20415271,-33.90115551,WATERLOO,2017,NSW,2
GANSW717426633,50,EDGECLIFF ROAD,UNIT 9,151.25352555,-33.88983146,WOOLLAHRA,2025,NSW,2
GANSW719254305,5,WENTWORTH PLACE,UNIT 605,151.07755051,-33.82574835,WENTWORTH POINT,2127,NSW,2
GANSW718576627,571A,HUME HIGHWAY,,151.01547083,-33.90633135,YAGOONA,2199,NSW,2
GANSW718534264,551,PUTTY ROAD,,150.81798305,-33.51553861,WILBERFORCE,2756,NSW,1
GANSW718559443,30-32,FARNELL ROAD,UNIT 3,151.32531865,-33.49356252,WOY WOY,2256,NSW,2
GANSW720781718,35,MCKINNON STREET,,151.47828454,-33.18457203,WYEE,2259,NSW,2
GANSW718576902,11,JULIAN PLACE,UNIT 19,148.91299825,-34.85003947,YASS,2582,NSW,2
GANSW716693056,4-6,VICTORIA STREET,UNIT 5,150.89272620,-34.42199995,WOLLONGONG,2500,NSW,2
GANSW717351342,762,WINTERBOURNE ROAD,,151.72508714,-30.89937692,WALCHA,2354,NSW,1
GANSW706147276,21,WATTLE AVENUE,,150.97050750,-33.88242183,VILLAWOOD,2163,NSW,2
GANSW706347508,12,GUTHEGA CLOSE,,150.88240470,-33.75360462,WOODCROFT,2767,NSW,2
GANSW717899890,28B,SPICER STREET,,151.23745455,-33.88726730,WOOLLAHRA,2025,NSW,2
GANSW717904358,27,BENNELONG PARKWAY,UNIT 33,151.07530194,-33.83308986,WENTWORTH POINT,2127,NSW,1
GANSW719805480,8,EBSWORTH STREET,UNIT 402,151.20413294,-33.90545798,ZETLAND,2017,NSW,1
GANSW712429367,4-6,HARVEY STREET,UNIT 6,150.85550656,-34.54730800,WARILLA,2528,NSW,2
GANSW712400798,3,GEORGE STREET,UNIT 3,150.89596139,-34.42866716,WOLLONGONG,2500,NSW,2
GANSW718527706,57,CENTRAL COAST HIGHWAY,UNIT 11,151.32918142,-33.42647309,WEST GOSFORD,2250,NSW,2
GANSW717899870,30,SPAUL STREET,,147.25334631,-35.19046629,URANQUINTY,2652,NSW,2
GANSW717900067,20,STRATHEARN AVENUE,,150.88454568,-34.43266840,WOLLONGONG,2500,NSW,2
GANSW717295124,21-23,BURELLI STREET,,150.89983613,-34.42754917,WOLLONGONG,2500,NSW,2
GANSW719813649,6,EBSWORTH STREET,UNIT 1502,151.20405797,-33.90521077,ZETLAND,2017,NSW,1
GANSW718063738,181-183,ADAMS STREET,UNIT 1,141.91484069,-34.09517581,WENTWORTH,2648,NSW,2
GANSW721260369,31,CORRIEDALE STREET,UNIT 8,150.91222659,-33.88105367,WAKELEY,2176,NSW,4
GANSW710618611,54,SHIRLEY ROAD,UNIT 73,151.19295926,-33.83171918,WOLLSTONECRAFT,2065,NSW,1
